			"AGREE(back,nonlocal)"	"AGREE(front,local)"	"AGREE(nonhigh_front,local)"	"AGREE(low_front,local)"	"AGREE(double_front,local)"	USE_FRONT/bilabial__	"USE_FRONT/[+cor,+son]__"	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
Ódikeg	Ódikegnak	1	0	1	1	1	1	0	0	0	0	0
Ódikeg	Ódikegnek	0	1	0	0	0	0	0	0	0	0	0
Álorens	Álorensnak	1	0	1	1	1	0	0	0	1	1	0
Álorens	Álorensnek	0	1	0	0	0	0	0	0	0	0	0
Aveg	Avegnak	0	0	1	1	1	0	0	0	0	0	0
Aveg	Avegnek	1	1	0	0	0	0	0	0	0	0	0
csem	csemnak	1	0	1	1	1	0	1	0	0	0	0
csem	csemnek	0	0	0	0	0	0	0	0	0	0	0
Rágzéng	Rágzéngnak	0	0	1	1	0	0	0	0	0	1	0
Rágzéng	Rágzéngnek	1	1	0	0	0	0	0	0	0	0	0
Hulyéb	Hulyébnak	1	0	1	1	0	0	1	0	0	0	0
Hulyéb	Hulyébnek	0	1	0	0	0	0	0	0	0	0	0
ket	ketnak	1	0	1	1	1	0	0	0	0	0	0
ket	ketnek	0	0	0	0	0	0	0	0	0	0	0
jes	jesnak	1	0	1	1	1	0	0	0	1	0	0
jes	jesnek	0	0	0	0	0	0	0	0	0	0	0
magell	magellnak	0	0	1	1	1	0	0	1	0	1	0
magell	magellnek	1	1	0	0	0	0	0	0	0	0	0
Kvim	Kvimnak	0	0	1	0	0	0	1	0	0	0	0
Kvim	Kvimnek	1	0	0	0	0	0	0	0	0	0	0
szugeny	szugenynak	0	0	1	1	1	0	0	1	0	0	0
szugeny	szugenynek	1	1	0	0	0	0	0	0	0	0	0
prársótilt	prársótiltnak	0	0	1	0	0	0	0	0	0	1	0
prársótilt	prársótiltnek	1	1	0	0	0	0	0	0	0	0	0
sél	sélnak	0	0	1	1	0	0	0	1	0	0	0
sél	sélnek	1	0	0	0	0	0	0	0	0	0	0
Orzés	Orzésnak	1	0	1	1	0	0	0	0	1	0	0
Orzés	Orzésnek	0	1	0	0	0	0	0	0	0	0	0
Zebb	Zebbnak	0	0	1	1	1	0	1	0	0	1	0
Zebb	Zebbnek	1	0	0	0	0	0	0	0	0	0	0
Natotes	Natotesnak	0	0	1	1	1	0	0	0	1	0	0
Natotes	Natotesnek	1	1	0	0	0	0	0	0	0	0	0
Irr	Irrnak	1	0	1	0	0	0	0	1	0	1	0
Irr	Irrnek	0	0	0	0	0	0	0	0	0	0	0
cseg	csegnak	0	0	1	1	1	0	0	0	0	0	0
cseg	csegnek	1	0	0	0	0	0	0	0	0	0	0
kázenks	kázenksnak	0	0	1	1	1	0	0	0	1	1	0
kázenks	kázenksnek	1	1	0	0	0	0	0	0	0	0	0
pantett	pantettnak	1	0	1	1	1	0	0	0	0	1	0
pantett	pantettnek	0	1	0	0	0	0	0	0	0	0	0
Zses	Zsesnak	0	0	1	1	1	0	0	0	1	0	0
Zses	Zsesnek	1	0	0	0	0	0	0	0	0	0	0
pátóze	pátózenak	1	0	1	1	1	0	0	0	0	0	0
pátóze	pátózenek	0	1	0	0	0	0	0	0	0	0	0
Hatiss	Hatissnak	0	0	1	0	0	0	0	0	1	1	0
Hatiss	Hatissnek	1	1	0	0	0	0	0	0	0	0	0
ep	epnak	1	0	1	1	1	0	1	0	0	0	0
ep	epnek	0	0	0	0	0	0	0	0	0	0	0
sapehn	sapehnnak	1	0	1	1	1	0	0	1	0	1	0
sapehn	sapehnnek	0	1	0	0	0	0	0	0	0	0	0
ett	ettnak	0	0	1	1	1	0	0	0	0	1	0
ett	ettnek	1	0	0	0	0	0	0	0	0	0	0
Kodájtís	Kodájtísnak	1	0	1	0	0	0	0	0	1	0	0
Kodájtís	Kodájtísnek	0	1	0	0	0	0	0	0	0	0	0
Szazebb	Szazebbnak	0	0	1	1	1	0	1	0	0	1	0
Szazebb	Szazebbnek	1	1	0	0	0	0	0	0	0	0	0
Hep	Hepnak	1	0	1	1	1	0	1	0	0	0	0
Hep	Hepnek	0	0	0	0	0	0	0	0	0	0	0
Mákser	Máksernak	0	0	1	1	1	0	0	1	0	0	0
Mákser	Máksernek	1	1	0	0	0	0	0	0	0	0	0
fásinyszin	fásinyszinnak	1	0	1	0	0	1	0	1	0	0	0
fásinyszin	fásinyszinnek	0	1	0	0	0	0	0	0	0	0	0
zett	zettnak	1	0	1	1	1	0	0	0	0	1	0
zett	zettnek	0	0	0	0	0	0	0	0	0	0	0
ík	íknak	1	0	1	0	0	0	0	0	0	0	0
ík	íknek	0	0	0	0	0	0	0	0	0	0	1
Szélt	Széltnak	1	0	1	1	0	0	0	0	0	1	0
Szélt	Széltnek	0	0	0	0	0	0	0	0	0	0	0
fártélil	fártélilnak	1	0	1	0	0	1	0	1	0	0	0
fártélil	fártélilnek	0	1	0	0	0	0	0	0	0	0	0
Votlélmins	Votlélminsnak	1	0	1	0	0	1	0	0	1	1	0
Votlélmins	Votlélminsnek	0	1	0	0	0	0	0	0	0	0	0
kákeg	kákegnak	1	0	1	1	1	0	0	0	0	0	0
kákeg	kákegnek	0	1	0	0	0	0	0	0	0	0	0
buzeln	buzelnnak	0	0	1	1	1	0	0	1	0	1	0
buzeln	buzelnnek	1	1	0	0	0	0	0	0	0	0	0
szes	szesnak	1	0	1	1	1	0	0	0	1	0	0
szes	szesnek	0	0	0	0	0	0	0	0	0	0	0
Hálmengég	Hálmengégnak	0	0	1	1	0	1	0	0	0	0	0
Hálmengég	Hálmengégnek	1	1	0	0	0	0	0	0	0	0	0
Móritrip	Móritripnak	1	0	1	0	0	1	1	0	0	0	0
Móritrip	Móritripnek	0	1	0	0	0	0	0	0	0	0	0
Zes	Zesnak	1	0	1	1	1	0	0	0	1	0	0
Zes	Zesnek	0	0	0	0	0	0	0	0	0	0	0
Bazeril	Bazerilnak	0	0	1	0	0	1	0	1	0	0	0
Bazeril	Bazerilnek	1	1	0	0	0	0	0	0	0	0	0
jelm	jelmnak	0	0	1	1	1	0	1	0	0	1	0
jelm	jelmnek	1	0	0	0	0	0	0	0	0	0	0
vírv	vírvnak	0	0	1	0	0	0	0	0	0	1	0
vírv	vírvnek	1	0	0	0	0	0	0	0	0	0	1
veb	vebnak	0	0	1	1	1	0	1	0	0	0	0
veb	vebnek	1	0	0	0	0	0	0	0	0	0	0
Grótitént	Grótiténtnak	1	0	1	1	0	1	0	0	0	1	0
Grótitént	Grótiténtnek	0	1	0	0	0	0	0	0	0	0	0
posztes	posztesnak	0	0	1	1	1	0	0	0	1	0	0
posztes	posztesnek	1	1	0	0	0	0	0	0	0	0	0
Boknyil	Boknyilnak	1	0	1	0	0	0	0	1	0	0	0
Boknyil	Boknyilnek	0	1	0	0	0	0	0	0	0	0	0
nég	négnak	0	0	1	1	0	0	0	0	0	0	0
nég	négnek	1	0	0	0	0	0	0	0	0	0	0
fép	fépnak	1	0	1	1	0	0	1	0	0	0	0
fép	fépnek	0	0	0	0	0	0	0	0	0	0	0
fer	fernak	1	0	1	1	1	0	0	1	0	0	0
fer	fernek	0	0	0	0	0	0	0	0	0	0	0
Áderélgy	Áderélgynak	1	0	1	1	0	1	0	0	0	1	0
Áderélgy	Áderélgynek	0	1	0	0	0	0	0	0	0	0	0
Langes	Langesnak	0	0	1	1	1	0	0	0	1	0	0
Langes	Langesnek	1	1	0	0	0	0	0	0	0	0	0
Donéleg	Donélegnak	1	0	1	1	1	1	0	0	0	0	0
Donéleg	Donélegnek	0	1	0	0	0	0	0	0	0	0	0
Nágyehn	Nágyehnnak	0	0	1	1	1	0	0	1	0	1	0
Nágyehn	Nágyehnnek	1	1	0	0	0	0	0	0	0	0	0
kaedénc	kaedéncnak	1	0	1	1	0	1	0	0	1	1	0
kaedénc	kaedéncnek	0	1	0	0	0	0	0	0	0	0	0
ébb	ébbnak	1	0	1	1	0	0	1	0	0	1	0
ébb	ébbnek	0	0	0	0	0	0	0	0	0	0	0
tányem	tányemnak	0	0	1	1	1	0	1	0	0	0	0
tányem	tányemnek	1	1	0	0	0	0	0	0	0	0	0
Vamzérfell	Vamzérfellnak	1	0	1	1	1	1	0	1	0	1	0
Vamzérfell	Vamzérfellnek	0	1	0	0	0	0	0	0	0	0	0
atahes	atahesnak	0	0	1	1	1	0	0	0	1	0	0
atahes	atahesnek	1	1	0	0	0	0	0	0	0	0	0
Otebb	Otebbnak	1	0	1	1	1	0	1	0	0	1	0
Otebb	Otebbnek	0	1	0	0	0	0	0	0	0	0	0
gem	gemnak	1	0	1	1	1	0	1	0	0	0	0
gem	gemnek	0	0	0	0	0	0	0	0	0	0	0
bes	besnak	0	0	1	1	1	0	0	0	1	0	0
bes	besnek	1	0	0	0	0	0	0	0	0	0	0
baladem	balademnak	0	0	1	1	1	0	1	0	0	0	0
baladem	balademnek	1	1	0	0	0	0	0	0	0	0	0
Spámelyinc	Spámelyincnak	1	0	1	0	0	1	0	0	1	1	0
Spámelyinc	Spámelyincnek	0	1	0	0	0	0	0	0	0	0	0
Sartéze	Sartézenak	0	0	1	1	1	1	0	0	0	0	0
Sartéze	Sartézenek	1	1	0	0	0	0	0	0	0	0	0
Anyert	Anyertnak	1	0	1	1	1	0	0	0	0	1	0
Anyert	Anyertnek	0	1	0	0	0	0	0	0	0	0	0
Fazdi	Fazdinak	0	0	1	0	0	0	0	0	0	0	0
Fazdi	Fazdinek	1	1	0	0	0	0	0	0	0	0	0
nen	nennak	1	0	1	1	1	0	0	1	0	0	0
nen	nennek	0	0	0	0	0	0	0	0	0	0	0
atuditt	atudittnak	1	0	1	0	0	0	0	0	0	1	0
atuditt	atudittnek	0	1	0	0	0	0	0	0	0	0	0
svoten	svotennak	1	0	1	1	1	0	0	1	0	0	0
svoten	svotennek	0	1	0	0	0	0	0	0	0	0	0
Csessz	Csessznak	0	0	1	1	1	0	0	0	1	1	0
Csessz	Csessznek	1	0	0	0	0	0	0	0	0	0	0
dúndémb	dúndémbnak	0	0	1	1	0	0	1	0	0	1	0
dúndémb	dúndémbnek	1	1	0	0	0	0	0	0	0	0	0
Osznelt	Oszneltnak	0	0	1	1	1	0	0	0	0	1	0
Osznelt	Oszneltnek	1	1	0	0	0	0	0	0	0	0	0
moggászég	moggászégnak	0	0	1	1	0	0	0	0	0	0	0
moggászég	moggászégnek	1	1	0	0	0	0	0	0	0	0	0
olit	olitnak	1	0	1	0	0	0	0	0	0	0	0
olit	olitnek	0	1	0	0	0	0	0	0	0	0	0
áregtim	áregtimnak	1	0	1	0	0	1	1	0	0	0	0
áregtim	áregtimnek	0	1	0	0	0	0	0	0	0	0	0
Olcalín	Olcalínnak	1	0	1	0	0	0	0	1	0	0	0
Olcalín	Olcalínnek	0	1	0	0	0	0	0	0	0	0	0
Mábríkes	Mábríkesnak	1	0	1	1	1	1	0	0	1	0	0
Mábríkes	Mábríkesnek	0	1	0	0	0	0	0	0	0	0	0
Afilérr	Afilérrnak	0	0	1	1	0	1	0	1	0	1	0
Afilérr	Afilérrnek	1	1	0	0	0	0	0	0	0	0	0
Loreny	Lorenynak	0	0	1	1	1	0	0	1	0	0	0
Loreny	Lorenynek	1	1	0	0	0	0	0	0	0	0	0
Plálem	Plálemnak	1	0	1	1	1	0	1	0	0	0	0
Plálem	Plálemnek	0	1	0	0	0	0	0	0	0	0	0
mágélk	mágélknak	1	0	1	1	0	0	0	0	0	1	0
mágélk	mágélknek	0	1	0	0	0	0	0	0	0	0	0
pes	pesnak	0	0	1	1	1	0	0	0	1	0	0
pes	pesnek	1	0	0	0	0	0	0	0	0	0	0
nyem	nyemnak	0	0	1	1	1	0	1	0	0	0	0
nyem	nyemnek	1	0	0	0	0	0	0	0	0	0	0
szib	szibnak	0	0	1	0	0	0	1	0	0	0	0
szib	szibnek	1	0	0	0	0	0	0	0	0	0	0
Kászén	Kászénnak	0	0	1	1	0	0	0	1	0	0	0
Kászén	Kászénnek	1	1	0	0	0	0	0	0	0	0	0
notvóilt	notvóiltnak	1	0	1	0	0	0	0	0	0	1	0
notvóilt	notvóiltnek	0	1	0	0	0	0	0	0	0	0	0
milm	milmnak	1	0	1	0	0	0	1	0	0	1	0
milm	milmnek	0	0	0	0	0	0	0	0	0	0	0
kásszirn	kásszirnnak	0	0	1	0	0	0	0	1	0	1	0
kásszirn	kásszirnnek	1	1	0	0	0	0	0	0	0	0	0
Fré	Frénak	0	0	1	1	0	0	0	0	0	0	0
Fré	Frének	1	0	0	0	0	0	0	0	0	0	0
Kondlíllís	Kondlíllísnak	1	0	1	0	0	1	0	0	1	0	0
Kondlíllís	Kondlíllísnek	0	1	0	0	0	0	0	0	0	0	0
Kávármérz	Kávármérznak	0	0	1	1	0	0	0	0	1	1	0
Kávármérz	Kávármérznek	1	1	0	0	0	0	0	0	0	0	0
Rufgore	Rufgorenak	1	0	1	1	1	0	0	0	0	0	0
Rufgore	Rufgorenek	0	1	0	0	0	0	0	0	0	0	0
fovénd	fovéndnak	0	0	1	1	0	0	0	0	0	1	0
fovénd	fovéndnek	1	1	0	0	0	0	0	0	0	0	0
Pontill	Pontillnak	0	0	1	0	0	0	0	1	0	1	0
Pontill	Pontillnek	1	1	0	0	0	0	0	0	0	0	0
barvaves	barvavesnak	1	0	1	1	1	0	0	0	1	0	0
barvaves	barvavesnek	0	1	0	0	0	0	0	0	0	0	0
zés	zésnak	1	0	1	1	0	0	0	0	1	0	0
zés	zésnek	0	0	0	0	0	0	0	0	0	0	0
Hem	Hemnak	0	0	1	1	1	0	1	0	0	0	0
Hem	Hemnek	1	0	0	0	0	0	0	0	0	0	0
ódátér	ódátérnak	0	0	1	1	0	0	0	1	0	0	0
ódátér	ódátérnek	1	1	0	0	0	0	0	0	0	0	0
almoi	almoinak	0	0	1	0	0	0	0	0	0	0	0
almoi	almoinek	1	1	0	0	0	0	0	0	0	0	0
bádén	bádénnak	1	0	1	1	0	0	0	1	0	0	0
bádén	bádénnek	0	1	0	0	0	0	0	0	0	0	0
arve	arvenak	1	0	1	1	1	0	0	0	0	0	0
arve	arvenek	0	1	0	0	0	0	0	0	0	0	0
Onyamses	Onyamsesnak	0	0	1	1	1	0	0	0	1	0	0
Onyamses	Onyamsesnek	1	1	0	0	0	0	0	0	0	0	0
Háncenszin	Háncenszinnak	1	0	1	0	0	1	0	1	0	0	0
Háncenszin	Háncenszinnek	0	1	0	0	0	0	0	0	0	0	0
Irs	Irsnak	1	0	1	0	0	0	0	0	1	1	0
Irs	Irsnek	0	0	0	0	0	0	0	0	0	0	0
Matezgelt	Matezgeltnak	1	0	1	1	1	1	0	0	0	1	0
Matezgelt	Matezgeltnek	0	1	0	0	0	0	0	0	0	0	0
térk	térknak	1	0	1	1	0	0	0	0	0	1	0
térk	térknek	0	0	0	0	0	0	0	0	0	0	0
Héb	Hébnak	1	0	1	1	0	0	1	0	0	0	0
Héb	Hébnek	0	0	0	0	0	0	0	0	0	0	0
csazécs	csazécsnak	0	0	1	1	0	0	0	0	1	0	0
csazécs	csazécsnek	1	1	0	0	0	0	0	0	0	0	0
Tent	Tentnak	0	0	1	1	1	0	0	0	0	1	0
Tent	Tentnek	1	0	0	0	0	0	0	0	0	0	0
csibb	csibbnak	0	0	1	0	0	0	1	0	0	1	0
csibb	csibbnek	1	0	0	0	0	0	0	0	0	0	0
tes	tesnak	0	0	1	1	1	0	0	0	1	0	0
tes	tesnek	1	0	0	0	0	0	0	0	0	0	0
Csossény	Csossénynak	1	0	1	1	0	0	0	1	0	0	0
Csossény	Csossénynek	0	1	0	0	0	0	0	0	0	0	0
rajizém	rajizémnak	0	0	1	1	0	1	1	0	0	0	0
rajizém	rajizémnek	1	1	0	0	0	0	0	0	0	0	0
Pábin	Pábinnak	1	0	1	0	0	0	0	1	0	0	0
Pábin	Pábinnek	0	1	0	0	0	0	0	0	0	0	0
Válkiszeg	Válkiszegnak	0	0	1	1	1	1	0	0	0	0	0
Válkiszeg	Válkiszegnek	1	1	0	0	0	0	0	0	0	0	0
gyárelt	gyáreltnak	0	0	1	1	1	0	0	0	0	1	0
gyárelt	gyáreltnek	1	1	0	0	0	0	0	0	0	0	0
Ádsell	Ádsellnak	0	0	1	1	1	0	0	1	0	1	0
Ádsell	Ádsellnek	1	1	0	0	0	0	0	0	0	0	0
ályim	ályimnak	1	0	1	0	0	0	1	0	0	0	0
ályim	ályimnek	0	1	0	0	0	0	0	0	0	0	0
feg	fegnak	1	0	1	1	1	0	0	0	0	0	0
feg	fegnek	0	0	0	0	0	0	0	0	0	0	0
hibb	hibbnak	1	0	1	0	0	0	1	0	0	1	0
hibb	hibbnek	0	0	0	0	0	0	0	0	0	0	0
léns	lénsnak	0	0	1	1	0	0	0	0	1	1	0
léns	lénsnek	1	0	0	0	0	0	0	0	0	0	0
Havalel	Havalelnak	1	0	1	1	1	0	0	1	0	0	0
Havalel	Havalelnek	0	1	0	0	0	0	0	0	0	0	0
káktragep	káktragepnak	0	0	1	1	1	0	1	0	0	0	0
káktragep	káktragepnek	1	1	0	0	0	0	0	0	0	0	0
Berv	Bervnak	0	0	1	1	1	0	0	0	0	1	0
Berv	Bervnek	1	0	0	0	0	0	0	0	0	0	0
tatijtés	tatijtésnak	1	0	1	1	0	1	0	0	1	0	0
tatijtés	tatijtésnek	0	1	0	0	0	0	0	0	0	0	0
táltselt	táltseltnak	1	0	1	1	1	0	0	0	0	1	0
táltselt	táltseltnek	0	1	0	0	0	0	0	0	0	0	0
gis	gisnak	1	0	1	0	0	0	0	0	1	0	0
gis	gisnek	0	0	0	0	0	0	0	0	0	0	0
Astole	Astolenak	0	0	1	1	1	0	0	0	0	0	0
Astole	Astolenek	1	1	0	0	0	0	0	0	0	0	0
Ahote	Ahotenak	0	0	1	1	1	0	0	0	0	0	0
Ahote	Ahotenek	1	1	0	0	0	0	0	0	0	0	0
Tébb	Tébbnak	1	0	1	1	0	0	1	0	0	1	0
Tébb	Tébbnek	0	0	0	0	0	0	0	0	0	0	0
Anyins	Anyinsnak	0	0	1	0	0	0	0	0	1	1	0
Anyins	Anyinsnek	1	1	0	0	0	0	0	0	0	0	0
lazlirny	lazlirnynak	1	0	1	0	0	0	0	1	0	1	0
lazlirny	lazlirnynek	0	1	0	0	0	0	0	0	0	0	0
torém	torémnak	1	0	1	1	0	0	1	0	0	0	0
torém	torémnek	0	1	0	0	0	0	0	0	0	0	0
tázeny	tázenynak	0	0	1	1	1	0	0	1	0	0	0
tázeny	tázenynek	1	1	0	0	0	0	0	0	0	0	0
Mákadéls	Mákadélsnak	1	0	1	1	0	0	0	0	1	1	0
Mákadéls	Mákadélsnek	0	1	0	0	0	0	0	0	0	0	0
ányég	ányégnak	0	0	1	1	0	0	0	0	0	0	0
ányég	ányégnek	1	1	0	0	0	0	0	0	0	0	0
Goler	Golernak	0	0	1	1	1	0	0	1	0	0	0
Goler	Golernek	1	1	0	0	0	0	0	0	0	0	0
mebb	mebbnak	1	0	1	1	1	0	1	0	0	1	0
mebb	mebbnek	0	0	0	0	0	0	0	0	0	0	0
més	mésnak	1	0	1	1	0	0	0	0	1	0	0
més	mésnek	0	0	0	0	0	0	0	0	0	0	0
háves	hávesnak	1	0	1	1	1	0	0	0	1	0	0
háves	hávesnek	0	1	0	0	0	0	0	0	0	0	0
Hény	Hénynak	1	0	1	1	0	0	0	1	0	0	0
Hény	Hénynek	0	0	0	0	0	0	0	0	0	0	0
Sozéll	Sozéllnak	1	0	1	1	0	0	0	1	0	1	0
Sozéll	Sozéllnek	0	1	0	0	0	0	0	0	0	0	0
Dodvi	Dodvinak	0	0	1	0	0	0	0	0	0	0	0
Dodvi	Dodvinek	1	1	0	0	0	0	0	0	0	0	0
Dasúlist	Dasúlistnak	1	0	1	0	0	0	0	0	0	1	0
Dasúlist	Dasúlistnek	0	1	0	0	0	0	0	0	0	0	0
szustágém	szustágémnak	1	0	1	1	0	0	1	0	0	0	0
szustágém	szustágémnek	0	1	0	0	0	0	0	0	0	0	0
vazigíft	vazigíftnak	0	0	1	0	0	1	0	0	0	1	0
vazigíft	vazigíftnek	1	1	0	0	0	0	0	0	0	0	0
pep	pepnak	0	0	1	1	1	0	1	0	0	0	0
pep	pepnek	1	0	0	0	0	0	0	0	0	0	0
Szakek	Szakeknak	0	0	1	1	1	0	0	0	0	0	0
Szakek	Szakeknek	1	1	0	0	0	0	0	0	0	0	0
agi	aginak	0	0	1	0	0	0	0	0	0	0	0
agi	aginek	1	1	0	0	0	0	0	0	0	0	0
Kilt	Kiltnak	1	0	1	0	0	0	0	0	0	1	0
Kilt	Kiltnek	0	0	0	0	0	0	0	0	0	0	0
jábjés	jábjésnak	1	0	1	1	0	0	0	0	1	0	0
jábjés	jábjésnek	0	1	0	0	0	0	0	0	0	0	0
julmebb	julmebbnak	1	0	1	1	1	0	1	0	0	1	0
julmebb	julmebbnek	0	1	0	0	0	0	0	0	0	0	0
filt	filtnak	1	0	1	0	0	0	0	0	0	1	0
filt	filtnek	0	0	0	0	0	0	0	0	0	0	0
Sposzkázzér	Sposzkázzérnak	0	0	1	1	0	0	0	1	0	0	0
Sposzkázzér	Sposzkázzérnek	1	1	0	0	0	0	0	0	0	0	0
Kumbiszés	Kumbiszésnak	1	0	1	1	0	1	0	0	1	0	0
Kumbiszés	Kumbiszésnek	0	1	0	0	0	0	0	0	0	0	0
Tenc	Tencnak	1	0	1	1	1	0	0	0	1	1	0
Tenc	Tencnek	0	0	0	0	0	0	0	0	0	0	0
Hálupem	Hálupemnak	0	0	1	1	1	0	1	0	0	0	0
Hálupem	Hálupemnek	1	1	0	0	0	0	0	0	0	0	0
tádep	tádepnak	1	0	1	1	1	0	1	0	0	0	0
tádep	tádepnek	0	1	0	0	0	0	0	0	0	0	0
bancsnemer	bancsnemernak	0	0	1	1	1	1	0	1	0	0	0
bancsnemer	bancsnemernek	1	1	0	0	0	0	0	0	0	0	0
pasern	pasernnak	0	0	1	1	1	0	0	1	0	1	0
pasern	pasernnek	1	1	0	0	0	0	0	0	0	0	0
Fóler	Fólernak	1	0	1	1	1	0	0	1	0	0	0
Fóler	Fólernek	0	1	0	0	0	0	0	0	0	0	0
gyómdét	gyómdétnak	0	0	1	1	0	0	0	0	0	0	0
gyómdét	gyómdétnek	1	1	0	0	0	0	0	0	0	0	0
Szvázálmép	Szvázálmépnak	0	0	1	1	0	0	1	0	0	0	0
Szvázálmép	Szvázálmépnek	1	1	0	0	0	0	0	0	0	0	0
donémíbb	donémíbbnak	0	0	1	0	0	1	1	0	0	1	0
donémíbb	donémíbbnek	1	1	0	0	0	0	0	0	0	0	0
fákens	fákensnak	0	0	1	1	1	0	0	0	1	1	0
fákens	fákensnek	1	1	0	0	0	0	0	0	0	0	0
londénty	londéntynak	1	0	1	1	0	0	0	0	0	1	0
londénty	londéntynek	0	1	0	0	0	0	0	0	0	0	0
Hájékk	Hájékknak	1	0	1	1	0	0	0	0	0	1	0
Hájékk	Hájékknek	0	1	0	0	0	0	0	0	0	0	0
Gyánykis	Gyánykisnak	0	0	1	0	0	0	0	0	1	0	0
Gyánykis	Gyánykisnek	1	1	0	0	0	0	0	0	0	0	0
Vém	Vémnak	1	0	1	1	0	0	1	0	0	0	0
Vém	Vémnek	0	0	0	0	0	0	0	0	0	0	0
Prafég	Prafégnak	1	0	1	1	0	0	0	0	0	0	0
Prafég	Prafégnek	0	1	0	0	0	0	0	0	0	0	0
klotel	klotelnak	1	0	1	1	1	0	0	1	0	0	0
klotel	klotelnek	0	1	0	0	0	0	0	0	0	0	0
ézs	ézsnak	1	0	1	1	0	0	0	0	1	0	0
ézs	ézsnek	0	0	0	0	0	0	0	0	0	0	0
móntingsztéll	móntingsztéllnak	1	0	1	1	0	1	0	1	0	1	0
móntingsztéll	móntingsztéllnek	0	1	0	0	0	0	0	0	0	0	0
Kumett	Kumettnak	0	0	1	1	1	0	0	0	0	1	0
Kumett	Kumettnek	1	1	0	0	0	0	0	0	0	0	0
butitelt	butiteltnak	0	0	1	1	1	1	0	0	0	1	0
butitelt	butiteltnek	1	1	0	0	0	0	0	0	0	0	0
Mém	Mémnak	1	0	1	1	0	0	1	0	0	0	0
Mém	Mémnek	0	0	0	0	0	0	0	0	0	0	0
protaleb	protalebnak	1	0	1	1	1	0	1	0	0	0	0
protaleb	protalebnek	0	1	0	0	0	0	0	0	0	0	0
gelm	gelmnak	0	0	1	1	1	0	1	0	0	1	0
gelm	gelmnek	1	0	0	0	0	0	0	0	0	0	0
plén	plénnak	1	0	1	1	0	0	0	1	0	0	0
plén	plénnek	0	0	0	0	0	0	0	0	0	0	0
Dogég	Dogégnak	0	0	1	1	0	0	0	0	0	0	0
Dogég	Dogégnek	1	1	0	0	0	0	0	0	0	0	0
Szórtutsérr	Szórtutsérrnak	1	0	1	1	0	0	0	1	0	1	0
Szórtutsérr	Szórtutsérrnek	0	1	0	0	0	0	0	0	0	0	0
Múgyes	Múgyesnak	0	0	1	1	1	0	0	0	1	0	0
Múgyes	Múgyesnek	1	1	0	0	0	0	0	0	0	0	0
Mávattsiks	Mávattsiksnak	0	0	1	0	0	0	0	0	1	1	0
Mávattsiks	Mávattsiksnek	1	1	0	0	0	0	0	0	0	0	0
juzalé	juzalénak	0	0	1	1	0	0	0	0	0	0	0
juzalé	juzalének	1	1	0	0	0	0	0	0	0	0	0
nyis	nyisnak	1	0	1	0	0	0	0	0	1	0	0
nyis	nyisnek	0	0	0	0	0	0	0	0	0	0	0
háráver	hárávernak	0	0	1	1	1	0	0	1	0	0	0
háráver	hárávernek	1	1	0	0	0	0	0	0	0	0	0
Bókték	Bóktéknak	0	0	1	1	0	0	0	0	0	0	0
Bókték	Bóktéknek	1	1	0	0	0	0	0	0	0	0	0
cses	csesnak	1	0	1	1	1	0	0	0	1	0	0
cses	csesnek	0	0	0	0	0	0	0	0	0	0	0
Tebb	Tebbnak	1	0	1	1	1	0	1	0	0	1	0
Tebb	Tebbnek	0	0	0	0	0	0	0	0	0	0	0
gyasegyint	gyasegyintnak	1	0	1	0	0	1	0	0	0	1	0
gyasegyint	gyasegyintnek	0	1	0	0	0	0	0	0	0	0	0
lájér	lájérnak	1	0	1	1	0	0	0	1	0	0	0
lájér	lájérnek	0	1	0	0	0	0	0	0	0	0	0
traldanins	traldaninsnak	1	0	1	0	0	0	0	0	1	1	0
traldanins	traldaninsnek	0	1	0	0	0	0	0	0	0	0	0
Szezs	Szezsnak	1	0	1	1	1	0	0	0	1	0	0
Szezs	Szezsnek	0	0	0	0	0	0	0	0	0	0	0
Ádsekszell	Ádsekszellnak	1	0	1	1	1	1	0	1	0	1	0
Ádsekszell	Ádsekszellnek	0	1	0	0	0	0	0	0	0	0	0
Lapeng	Lapengnak	1	0	1	1	1	0	0	0	0	1	0
Lapeng	Lapengnek	0	1	0	0	0	0	0	0	0	0	0
Konzem	Konzemnak	1	0	1	1	1	0	1	0	0	0	0
Konzem	Konzemnek	0	1	0	0	0	0	0	0	0	0	0
gaszedel	gaszedelnak	1	0	1	1	1	1	0	1	0	0	0
gaszedel	gaszedelnek	0	1	0	0	0	0	0	0	0	0	0
száttsiked	száttsikednak	0	0	1	1	1	1	0	0	0	0	0
száttsiked	száttsikednek	1	1	0	0	0	0	0	0	0	0	0
hasznollem	hasznollemnak	1	0	1	1	1	0	1	0	0	0	0
hasznollem	hasznollemnek	0	1	0	0	0	0	0	0	0	0	0
Szlind	Szlindnak	0	0	1	0	0	0	0	0	0	1	0
Szlind	Szlindnek	1	0	0	0	0	0	0	0	0	0	0
jaten	jatennak	0	0	1	1	1	0	0	1	0	0	0
jaten	jatennek	1	1	0	0	0	0	0	0	0	0	0
Err	Errnak	0	0	1	1	1	0	0	1	0	1	0
Err	Errnek	1	0	0	0	0	0	0	0	0	0	0
azalimp	azalimpnak	0	0	1	0	0	0	1	0	0	1	0
